numero_de_cliente	prob
249221323	2.2964834833556912e-8
249227600	2.2408585452437566e-8
249234235	0.004571436096484978
249244449	5.279339238120623e-8
249244739	4.89189530403663e-7
249255456	3.015158925929435e-8
249255747	1.9117881083166017e-7
249257429	5.2395974723454e-7
249273979	3.993671633750012e-8
249274782	5.178461501357923e-8
249275806	1.7413896983639145e-8
249293450	3.441355210939069e-8
249301323	5.246825436236397e-6
249302860	6.705001122801372e-8
249303228	7.948495749958985e-6
249320580	0.00045938633495036545
249321238	1.9049602135797858e-8
249326925	2.7323732604492813e-7
249333783	8.974338959817636e-6
249343629	6.37870307766072e-8
249350768	2.7047760210302817e-8
249353766	0.000028648792676020215
249363100	9.044372903668539e-8
249363168	1.544266198317278e-8
249364628	1.8889235017574117e-7
249365798	2.3945068919166513e-7
249366447	3.446647183268995e-8
249366814	1.4597263056799941e-8
249368642	1.4548493453626366e-7
249369513	2.3111820561797117e-7
249371844	1.0269838865457152e-6
249373894	2.2942743693614902e-6
249374765	3.6620485090931875e-6
249376439	4.192597526303192e-7
249378334	2.8755441686687376e-6
249381691	1.1146674902138974e-8
249388625	1.0208926044032797e-7
249391469	9.42259102574405e-8
249400948	2.478051085103932e-8
249404885	6.562849092513386e-7
249406703	0.000018523655678645607
249408599	2.313764814765202e-8
249411375	5.100087205680457e-8
249412032	1.5378386960862702e-8
249416481	5.523802568441139e-9
249426763	1.0250796233288284e-6
249427711	0.000015760416207608456
249430845	0.000010900972284099937
249432306	1.459993947878366e-7
249452946	5.815126345480069e-9
249460820	0.000010654274809192373
249461768	1.662758379923535e-7
249477225	6.685427509308672e-6
249480068	8.308285275938913e-6
249483501	5.040796490154741e-7
249491153	8.364490380821315e-8
249493416	2.1933785810488206e-6
249494219	9.062151718423821e-9
249502827	6.348191241271848e-8
249502972	4.1287889377710585e-6
249508950	1.2186768206343147e-7
249509684	4.148087381578012e-8
249511503	8.660578905455228e-7
249513476	2.1728503581210835e-6
249514637	1.0803463516031051e-7
249516533	4.4622222445745904e-7
249519377	1.5561901160632513e-6
249524629	1.2225708623102482e-7
249531341	2.6708884027168304e-8
249532724	2.534789570162636e-7
249533894	0.1603801407077766
249536661	2.9416174682309158e-6
249538489	8.248279449188468e-7
249540965	6.34933838841902e-7
249560145	0.00015261325179307772
249562408	4.58241555783032e-8
249565611	0.00001965199937782995
249565688	1.3763938237884075e-6
249569334	4.002287454812549e-6
249577720	1.8210581564780202e-10
249580854	1.8950495790139124e-9
249583040	2.0822388581040143e-9
249586328	7.836964086423717e-7
249588660	1.6953204324766358e-7
249592742	1.1744099003757788e-7
249596175	1.0983715610482418e-7
249608933	1.5592785942584175e-7
249610026	2.7296324666853997e-7
249626294	0.000014933755975233999
249631179	1.0816780831764308e-6
249648096	1.5118893334877193e-9
249649702	0.000133388044013406
249651085	0.04148725704332538
249654219	0.9964617798310026
249655022	1.1650848057165025e-6
249660786	4.3736658172719736e-7
249672964	1.0584801076314273e-8
249675082	4.127420810946176e-6
249676243	3.328013033310525e-6
249676687	3.2705500187980237e-8
249693818	0.000023928906299628652
249693963	1.0757595990542438e-8
249695278	6.448123770610363e-7
249695645	0.001740558914630053
249701043	1.0951199194185596e-7
249702059	7.214807059038655e-8
249705125	1.9309436407093966e-7
249707533	4.020092206177363e-9
249708549	0.0001275052338057795
249714023	9.273769488436296e-10
249714313	2.168630598207299e-6
249715483	1.7537227532389413e-8
249717234	8.221321506316614e-6
249726713	6.491509976449398e-8
249732836	3.366993835293794e-8
249739113	9.559106478507308e-8
249767038	0.8711594088362913
249768865	0.000010184707653605
249773972	2.6157739988918764e-7
249776372	2.6957178845684963e-7
249783886	4.621540448989832e-8
249787755	1.123991901798132e-6
249794604	0.0005660900367964887
249797738	2.953189025765588e-6
249801461	1.6209430026963306e-9
249801897	3.498744336905627e-8
249803502	0.0012176416315842872
249803647	0.0000392908720286559
249805031	1.5116955789327627e-7
249806636	9.225589698574977e-6
249809121	0.5102224486864897
249809480	1.8607903724434483e-8
249813127	6.325170772834466e-8
249832452	3.9573550694783126e-8
249834134	3.768624431627111e-7
249836244	7.962539834523318e-9
249843690	8.766797015258972e-6
