numero_de_cliente	foto_mes	prob
249221323	202104	5.599438723418738e-7
249227600	202104	1.0380548529126473e-7
249234235	202104	0.0005453121209533987
249244449	202104	9.881162392048774e-7
249244739	202104	1.2578178430130427e-6
249255456	202104	2.8134277482916993e-7
249255747	202104	2.6974742805811094e-7
249257429	202104	3.1691976848467366e-6
249273979	202104	2.237272735856548e-7
249274782	202104	3.843513542312209e-6
249275806	202104	2.810441362404273e-7
249293450	202104	2.0534601677329851e-7
249301323	202104	2.4545326759820373e-6
249302860	202104	3.933491503707914e-7
249303228	202104	1.7351790888099694e-6
249320580	202104	0.00017142596394642407
249321238	202104	2.2847208618632078e-7
249326925	202104	2.766426477726046e-6
249333783	202104	5.815107628542394e-6
249343629	202104	1.2191427512106897e-7
249350768	202104	1.0379226887477814e-6
249353766	202104	0.00011442593347902302
249363100	202104	1.6104399510917162e-7
249363168	202104	1.5113092377355725e-6
249364628	202104	3.831830186962894e-7
249365798	202104	2.4997647893776426e-7
249366447	202104	1.74893271609853e-6
249366814	202104	2.2259516631990927e-7
249368642	202104	4.273086524308776e-7
249369513	202104	5.655162583369285e-8
249371844	202104	1.1372256170727402e-6
249373894	202104	6.410003670988979e-7
249374765	202104	1.214960429988598e-7
249376439	202104	7.451988796385195e-6
249378334	202104	2.9606603405735095e-7
249381691	202104	2.0539693984643527e-6
249388625	202104	6.445247151843932e-8
249391469	202104	1.8080724636844448e-6
249400948	202104	1.479120265149729e-6
249404885	202104	1.0669161840058968e-6
249406703	202104	0.00006194845008081997
249408599	202104	3.081043756354697e-7
249411375	202104	3.928291783105832e-7
249412032	202104	3.3319321538431682e-6
249416481	202104	4.361064144462606e-8
249426763	202104	2.197057568289129e-6
249427711	202104	4.428494827595652e-6
249430845	202104	5.81715571952768e-6
249432306	202104	7.838174698708704e-6
249452946	202104	1.7045463582541377e-8
249460820	202104	0.0008948860617679469
249461768	202104	9.47917828188193e-7
249465047	202104	0.000019007187544428734
249477225	202104	5.019496037459631e-6
249480068	202104	0.00006696242397804081
249483501	202104	2.142512401701511e-7
249491153	202104	4.576845664653999e-8
249493416	202104	0.000017317384192137367
249494219	202104	4.071722021681307e-7
249502827	202104	9.048705247930237e-7
249502972	202104	7.014896204926596e-7
249508950	202104	2.6651846004112245e-7
249509684	202104	1.020668474175116e-6
249511503	202104	1.957028548218988e-6
249513476	202104	1.8168510502777019e-6
249514637	202104	3.824653676080323e-7
249516533	202104	2.015218271912467e-6
249519377	202104	6.632937362589357e-6
249524629	202104	1.0038285650898701e-7
249531341	202104	3.061219552392995e-7
249532724	202104	7.281544886800533e-9
249533894	202104	0.002279514292831255
249536661	202104	1.5248712681989718e-6
249538489	202104	7.169962323659324e-7
249540965	202104	7.4866074111820125e-6
249560145	202104	1.3740404350457876e-6
249562408	202104	2.4709376097898676e-7
249565611	202104	0.0007009161298773603
249565688	202104	0.000059721138072871366
249569334	202104	0.00037211554827700416
249577720	202104	7.16987730025773e-8
249580854	202104	6.350201028664808e-8
249583040	202104	6.04285570739854e-8
249586328	202104	3.2874512038663067e-6
249588660	202104	2.322886635145619e-7
249592742	202104	2.3882845368833415e-7
249596175	202104	2.1107682857615442e-7
249608933	202104	7.592780054320737e-6
249610026	202104	1.7098577507377847e-6
249626294	202104	6.563406038144607e-6
249631179	202104	1.0646251577337605e-6
249648096	202104	8.711858161020925e-8
249649702	202104	0.00003047143845698305
249651085	202104	8.156801137465862e-6
249654219	202104	0.16082317218082082
249655022	202104	1.244041415630045e-6
249660786	202104	7.363588112473423e-6
249672964	202104	1.1911282806337665e-7
249675082	202104	6.898181397545162e-6
249676243	202104	1.7048738653245787e-6
249676687	202104	1.244518959816325e-6
249693818	202104	0.0012862966877770427
249693963	202104	2.3570005190430982e-6
249695278	202104	4.408644239681374e-6
249695645	202104	0.0015944524047155747
249701043	202104	6.29690330472774e-6
249702059	202104	5.242396175171464e-8
249705125	202104	0.000016459415996468476
249707533	202104	1.0208052815297865e-6
249708549	202104	0.00010031902246096768
249709864	202104	0.014686239033645873
249714023	202104	3.4356021955143154e-8
249714313	202104	0.0000443412823752559
249715483	202104	2.4627069278529194e-7
