foto_mes,total,baja2_count,baja2_pct,baja1_count,baja1_pct,continua_count,continua_pct,total_baja_pct
201901,124273,729,0.5866117338440369,645,0.5190186122488393,122899,98.89436965390712,1.1056303460928762
201902,125401,707,0.5637913573256992,733,0.5845248442994873,123961,98.85168379837481,1.1483162016251864
201903,125967,751,0.5961878904792525,708,0.5620519659910929,124508,98.84176014352965,1.1582398564703456
201904,126538,514,0.4062020894909039,756,0.5974489876558821,125268,98.99634892285322,1.003651077146786
201905,127202,692,0.5440166035125233,517,0.406440150312102,125993,99.04954324617538,0.9504567538246254
201906,128734,608,0.4722917022697966,696,0.5406497118088461,127430,98.98705858592136,1.0129414140786428
201907,130268,680,0.5220007983541622,611,0.4690330702858722,128977,99.00896613135997,0.9910338686400344
201908,132143,577,0.43664817659656585,683,0.5168643060926421,130883,99.0464875173108,0.953512482689208
201909,133757,582,0.4351174144156941,581,0.43436978999229947,132594,99.13051279559201,0.8694872044079935
201910,136010,618,0.45437835453275494,594,0.43673259319167707,134798,99.10888905227557,0.8911109477244321
201911,137996,673,0.48769529551581203,619,0.4485637264848256,136704,99.06374097799936,0.9362590220006376
201912,139980,616,0.44006286612373197,678,0.4843549078439777,138686,99.0755822260323,0.9244177739677096
202001,143464,544,0.3791892042603022,622,0.43355824457703673,142298,99.18725255116266,0.812747448837339
202002,146660,168,0.11455066139369971,550,0.37501704622937404,145942,99.51043229237693,0.4895677076230738
202003,148798,398,0.26747671339668544,168,0.11290474334332451,148232,99.61961854325999,0.38038145674000995
202004,149350,531,0.35554067626380986,399,0.2671576832942752,148420,99.37730164044191,0.6226983595580851
202005,150792,623,0.41315189134702107,535,0.354793357737811,149634,99.23205475091517,0.7679452490848321
202006,153102,585,0.3820982090371125,626,0.40887774163629476,151891,99.20902404932659,0.7909759506734072
202007,154984,473,0.3051927940948743,589,0.38003922985598515,153922,99.31476797604914,0.6852320239508595
202008,156461,493,0.31509449639207215,478,0.30550744274931135,155490,99.37939806085862,0.6206019391413835
202009,157805,541,0.34282817401223026,500,0.31684674123126644,156764,99.3403250847565,0.6596749152434968
202010,159169,454,0.285231420691215,544,0.34177509439652193,158171,99.37299348491226,0.627006515087737
202011,160250,616,0.384399375975039,456,0.2845553822152886,159178,99.33104524180968,0.6689547581903276
202012,160997,619,0.3844792138983956,622,0.3863426026571924,159756,99.22917818344442,0.770821816555588
202101,161527,825,0.5107505246800844,622,0.38507494103153034,160080,99.10417453428839,0.8958254657116148
202102,162155,1032,0.6364281089081435,831,0.5124726342080108,160292,98.85109925688384,1.1489007431161542
202103,163109,951,0.5830456933706908,1039,0.6369973453334886,161119,98.77995696129582,1.2200430387041794
202104,163418,1130,0.6914782949246717,955,0.5843909483655412,161333,98.72413075670978,1.2758692432902128
202105,163917,842,0.5136746036103638,1134,0.6918135397792785,161941,98.79451185661036,1.2054881433896425
202106,164313,1134,0.6901462452757846,843,0.5130452246626864,162336,98.79680853006153,1.2031914699384711
202107,1137,0,0.0,1137,100.0,0,0.0,100.0
