foto_mes,column,target_nulls,preprocessed_nulls,null_change,target_null_pct,preprocessed_null_pct,target_zeros,preprocessed_zeros,zero_change,target_zero_pct,preprocessed_zero_pct
201905,active_quarter,0,0,0,0.0,0.0,1606,1606,0,1.2625587647992955,1.2625587647992955
201905,cliente_vip,0,0,0,0.0,0.0,126329,126329,0,99.31369003632018,99.31369003632018
201905,internet,0,0,0,0.0,0.0,12310,12310,0,9.677520793698212,9.677520793698212
201905,cliente_edad,0,0,0,0.0,0.0,0,0,0,0.0,0.0
201905,cliente_antiguedad,0,0,0,0.0,0.0,0,0,0,0.0,0.0
201905,mrentabilidad,0,0,0,0.0,0.0,127202,127202,0,100.0,100.0
201905,mrentabilidad_annual,0,0,0,0.0,0.0,127202,127202,0,100.0,100.0
201905,mcomisiones,0,0,0,0.0,0.0,127202,127202,0,100.0,100.0
201905,mactivos_margen,0,0,0,0.0,0.0,127202,127202,0,100.0,100.0
201905,mpasivos_margen,0,0,0,0.0,0.0,127202,127202,0,100.0,100.0
201905,cproductos,0,0,0,0.0,0.0,0,0,0,0.0,0.0
201905,tcuentas,0,0,0,0.0,0.0,0,0,0,0.0,0.0
201905,ccuenta_corriente,0,0,0,0.0,0.0,0,0,0,0.0,0.0
201905,mcuenta_corriente_adicional,0,0,0,0.0,0.0,127124,127124,0,99.93868020943067,99.93868020943067
201905,mcuenta_corriente,0,0,0,0.0,0.0,54815,54815,0,43.0928758981777,43.0928758981777
201905,ccaja_ahorro,0,0,0,0.0,0.0,0,0,0,0.0,0.0
201905,mcaja_ahorro,0,0,0,0.0,0.0,8717,8717,0,6.852879671703275,6.852879671703275
201905,mcaja_ahorro_adicional,0,0,0,0.0,0.0,124556,124556,0,97.91984402760963,97.91984402760963
201905,mcaja_ahorro_dolares,0,0,0,0.0,0.0,56785,56785,0,44.64159368563387,44.64159368563387
201905,cdescubierto_preacordado,0,0,0,0.0,0.0,4745,4745,0,3.7302872596342826,3.7302872596342826
201905,mcuentas_saldo,0,0,0,0.0,0.0,802,802,0,0.6304932312385025,0.6304932312385025
201905,ctarjeta_debito,0,0,0,0.0,0.0,59,59,0,0.046382918507570634,0.046382918507570634
201905,ctarjeta_debito_transacciones,0,0,0,0.0,0.0,45081,45081,0,35.44048049558969,35.44048049558969
201905,mautoservicio,0,0,0,0.0,0.0,45081,45081,0,35.44048049558969,35.44048049558969
