numero_de_cliente	foto_mes	prob
911672836	202102	3.2915273929348474e-8
911857482	202102	4.2220595184337143e-7
911936834	202102	1.0342139929556712e-7
912426536	202102	2.3495280810874546e-8
913210501	202102	1.6318013419954818e-8
913458529	202102	0.000025286595381738402
913501774	202102	2.850651526911663e-9
913525617	202102	6.262035920990315e-9
914108018	202102	1.470121517127869e-8
914219812	202102	3.1567497536438794e-8
914469591	202102	3.767424175108738e-9
914639147	202102	1.8571592256230477e-9
914904084	202102	1.8821486112708117e-7
915010412	202102	7.365625139179987e-6
915249542	202102	2.9012032526591978e-8
915760107	202102	9.522021457913957e-8
916069100	202102	9.54500965524827e-7
916291090	202102	5.7062133394025325e-8
916294592	202102	9.75785834157611e-6
916318947	202102	4.805328584638484e-7
916919350	202102	5.3198683473210626e-8
917070674	202102	9.538736785647539e-8
917091460	202102	4.345428572208592e-9
917708353	202102	1.4329461565847802e-8
917889797	202102	0.000012364501936024391
918049721	202102	7.593164703159676e-9
919610869	202102	2.475037720886589e-8
919663525	202102	2.1917183209241913e-8
920045158	202102	1.0710470521453587e-6
920163219	202102	9.720059868079893e-8
920276550	202102	2.4973196599935594e-8
920418686	202102	2.8564262289029693e-9
921097927	202102	4.945187000972084e-7
921830918	202102	4.734318779398252e-8
921974369	202102	6.312373811638416e-6
923936398	202102	3.720613097958384e-8
923955579	202102	6.455767636190591e-9
924289875	202102	7.756751598594062e-9
925050791	202102	1.0625181513503678e-7
925147717	202102	8.189648211959258e-9
925452039	202102	1.606364453200582e-8
925882382	202102	1.1060215650205446e-9
927061463	202102	1.4841739003475493e-8
927070071	202102	1.0159273572318173e-7
927232770	202102	6.43588040442942e-8
927464171	202102	5.240533322342531e-7
927949792	202102	1.2127577672409894e-7
928351108	202102	0.0007263188633706702
928694013	202102	3.826143703729656e-8
930266536	202102	3.1447174438061474e-7
930662097	202102	9.133758249251551e-9
930679304	202102	2.648705427025259e-9
931583457	202102	4.0531749223525783e-7
933418296	202102	2.2025227909915406e-7
934038255	202102	4.5250877266607877e-7
934100168	202102	5.527898048042459e-7
934289853	202102	0.01119970841562875
934430818	202102	1.2440026021772248e-8
935192033	202102	5.125556706496631e-8
935368225	202102	1.8589866807862067e-9
936027415	202102	5.6075457067179375e-8
937193004	202102	4.1777890214111615e-8
937465609	202102	2.9712177399521888e-8
938918312	202102	7.461198981898705e-7
939047834	202102	2.112269956170147e-8
939058329	202102	9.239527029129127e-9
249565688	202102	2.9629818237075062e-8
249596175	202102	1.024306947229386e-6
249843690	202102	9.15970984576285e-8
250272786	202102	0.00009706834509954214
251050628	202102	1.9801069816454833e-6
251369536	202102	3.550522899868524e-7
252411597	202102	2.2979005636719357e-8
252771922	202102	3.741836537447602e-8
253086757	202102	3.975784618316736e-7
253228235	202102	5.90975582507639e-7
253312607	202102	1.7850894636006757e-8
253344990	202102	2.3655507203651108e-9
253762421	202102	6.912360572114882e-8
254781288	202102	0.0002830644217807714
255185448	202102	4.7974657657231873e-8
255480948	202102	8.957390307253662e-9
255767038	202102	7.217598843707344e-7
255859515	202102	7.065597335443024e-6
255924707	202102	1.3928881625934568e-7
256003033	202102	8.328783667056176e-8
257150688	202102	0.021016171063342148
257242943	202102	5.159179884883019e-8
257496069	202102	3.749352115048477e-7
257533337	202102	1.184370499301024e-7
257640391	202102	7.012960758931639e-7
258084448	202102	2.1297966722260268e-8
258494151	202102	3.0251426792984915e-7
258527114	202102	8.359862198722594e-9
258781846	202102	1.975247757998658e-6
258790010	202102	1.0429366018786219e-6
258910710	202102	5.183593254894523e-7
259091351	202102	4.666920714633464e-8
259976760	202102	5.953450101042726e-7
260083156	202102	0.00008365543456133532
260276701	202102	4.801413615990653e-8
260617931	202102	6.431776112974186e-8
260855020	202102	3.279152309211843e-8
261247361	202102	3.6888041330366266e-7
261399778	202102	2.4000945641597066e-9
261943819	202102	6.228921170908116e-8
262200301	202102	4.501492900649202e-9
262302035	202102	9.133614163828739e-9
263226017	202102	6.014819915674335e-8
263451150	202102	1.2219994021151124e-7
263490160	202102	0.000040524849636609807
263582637	202102	4.777703440115008e-7
263705950	202102	1.754740680965809e-8
263925900	202102	3.762058956313742e-6
264409411	202102	0.00003249336121566556
264506474	202102	4.831341062715213e-7
264559488	202102	2.430854081156335e-8
264637524	202102	9.346847369206695e-7
264822034	202102	6.344852706090668e-8
265138457	202102	7.523000588703752e-8
265543129	202102	9.101093959721346e-7
266274156	202102	2.7413595486748744e-9
266350655	202102	1.868626171282756e-6
266499648	202102	3.3048281115212614e-8
266804405	202102	0.000023964988736446507
267160290	202102	3.1878924970297645e-7
267434279	202102	9.463136759011771e-6
267478036	202102	1.3117740435717161e-8
267886133	202102	1.3080364316012867e-8
267958627	202102	1.0524192354401025e-7
335614663	202102	3.566133715447696e-8
335658198	202102	1.1638563045017502e-7
336296313	202102	1.144107893872264e-8
336316586	202102	0.0002222309888968281
336482496	202102	7.6202391861985e-6
336614418	202102	4.852376377695179e-9
336997434	202102	4.466192527950202e-7
337123309	202102	6.799124941124823e-8
337375710	202102	7.210912960261397e-7
337771484	202102	2.778094833902363e-8
338079965	202102	5.107920037395864e-7
338402664	202102	0.0000196675578018361
338693570	202102	1.548043734833333e-8
339013870	202102	1.0005128278803737e-6
339364716	202102	1.0757360036780738e-7
339476954	202102	0.00003783002669674844
339500003	202102	2.1838806984997384e-7
340111781	202102	0.00025686192607798426
340191200	202102	1.0513872798048555e-6
340927035	202102	1.0625573271431165e-6
340989461	202102	2.1646676749288443e-8
341637490	202102	1.6489674556306415e-9
341652665	202102	7.531909687359532e-9
341695611	202102	1.4665334242614797e-6
342040198	202102	1.3581796157246785e-7
342212009	202102	3.2469947688276664e-8
342426493	202102	6.647737363633439e-7
342556297	202102	6.207191488196767e-7
342592616	202102	5.86171968552571e-7
342662557	202102	1.4953641078562422e-8
342884180	202102	2.4813864961885556e-9
343583550	202102	3.454498353018297e-6
344394722	202102	1.515603059733402e-9
344461520	202102	1.0723918039072889e-6
344725295	202102	2.2386939585053038e-9
344809600	202102	4.83737483451167e-7
344814852	202102	2.939104587855332e-6
345344520	202102	5.149732432612746e-8
345438594	202102	1.0506271181588039e-7
345566434	202102	3.7308195744975415e-8
345858142	202102	1.7146426415951676e-8
346273899	202102	1.2082530522950081e-6
346286154	202102	1.8637056296648716e-9
346660126	202102	7.445340225271249e-8
346757189	202102	3.345246123859845e-7
346798615	202102	5.867013099262109e-8
347247694	202102	7.68971504660691e-7
347624655	202102	4.0051090142035734e-8
347628745	202102	1.1936270266188956e-7
347698242	202102	2.252882992001345e-9
347723331	202102	1.7987856061935412e-8
347954365	202102	0.000021151507017612324
348028089	202102	4.608825303230569e-6
348169054	202102	2.293347767336444e-7
349527401	202102	3.0980919896738644e-6
349931416	202102	3.5778672672576956e-8
350207446	202102	1.216131064355561e-8
350423092	202102	3.244514738693161e-7
350575577	202102	3.8012494703757796e-8
351095331	202102	7.14801244444593e-8
351383026	202102	2.2858677403061913e-6
351387552	202102	5.101955582199655e-8
351610123	202102	2.6361354356135357e-7
